schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = football activities with Scott ; date = next Sunday ; start-time = 1am ; end-time = 2am )
schedule ( title = meeting with Michael ; date = this Sunday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = meeting with Jennifer ; date = next Tuesday ; start-time = 4am ; end-time = 5am )
schedule ( title = meeting with  ; date = this Thursday ; start-time = 1pm ; end-time = 2pm )
schedule ( title = breakfast with William ; date = this Saturday ; start-time = 9am ; end-time = 10am )
schedule ( title = meeting with David ; date = next Thursday ; start-time = 12pm ; end-time = 1pm )
schedule ( title = yoga activity with Timothy ; date = this Monday ; start-time = 7am ; end-time = 8am )
schedule ( title = dinner with  ; date = next Saturday ; start-time = 12pm ; end-time = 1pm )
schedule ( title = dinner with Oliver ; date = this Saturday ; start-time = 3pm ; end-time = 4pm )
schedule ( title = breakfast with Jennifer ; date = next Tuesday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = lab appointment with sister ; date = this Sunday ; start-time = 8pm ; end-time = 9pm )
schedule ( title = breakfast with Benjamin ; date = this Tuesday ; start-time = 6am ; end-time = 7am )
schedule ( title = dentist appointment with Emily ; date = next Wednesday ; start-time = 5am ; end-time = 6am )
schedule ( title = dentist appointment with Lisa ; date = this Wednesday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = breakfast with Liam ; date = next Tuesday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = lunch with Liam ; date = this Tuesday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = yoga activity with father ; date = this Saturday ; start-time = 4am ; end-time = 5am )
schedule ( title = lunch with Lisa ; date = this Tuesday ; start-time = 12am ; end-time = 1am )
schedule ( title = flight with Amelia ; date = next Sunday ; start-time = 6am ; end-time = 7am )
schedule ( title = dentist appointment with Evelyn ; date = this Tuesday ; start-time = 11am ; end-time = 12am )
schedule ( title = breakfast with Emily ; date = next Saturday ; start-time = 5am ; end-time = 6am )
schedule ( title = conference with Liam ; date = next Saturday ; start-time = 3pm ; end-time = 4pm )
schedule ( title = interview with Oliver ; date = this Wednesday ; start-time = 9pm ; end-time = 10pm )
schedule ( title = meeting with William ; date = this Thursday ; start-time = 7am ; end-time = 8am )
schedule ( title = lunch with Gary ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
schedule ( title = playing football with James ; date = this Friday ; start-time = 12am ; end-time = 1am )
schedule ( title = interview with Richard ; date = this Wednesday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = taking medicine with sister ; date = this Sunday ; start-time = 2pm ; end-time = 3pm )
schedule ( title = playing football with Sarah ; date = this Saturday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = meeting with Emily ; date = this Monday ; start-time = 5pm ; end-time = 6pm )
schedule ( title = interview with Alice ; date = this Sunday ; start-time = 1am ; end-time = 2am )
schedule ( title = taking medicine with Elizabeth ; date = next Sunday ; start-time = 4am ; end-time = 5am )
schedule ( title = conference with Sarah ; date = this Saturday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = zoom with Linda ; date = this Saturday ; start-time = 11am ; end-time = 12am )
schedule ( title = dinner with Ryan ; date = next Wednesday ; start-time = 2pm ; end-time = 3pm )
schedule ( title = football activities with Emily ; date = next Sunday ; start-time = 12pm ; end-time = 1pm )
schedule ( title = lunch with Linda ; date = this Wednesday ; start-time = 2am ; end-time = 3am )
schedule ( title = breakfast with Jacob ; date = this Wednesday ; start-time = 8am ; end-time = 9am )
schedule ( title = lab appointment with George ; date = this Thursday ; start-time = 9pm ; end-time = 10pm )
schedule ( title = dinner with Alex ; date = this Monday ; start-time = 10am ; end-time = 11am )
schedule ( title = flight with Emma ; date = next Sunday ; start-time = 4pm ; end-time = 5pm )
schedule ( title = trip with John ; date = this Tuesday ; start-time = 10pm ; end-time = 11pm )
schedule ( title = talk with sister ; date = this Tuesday ; start-time = 7pm ; end-time = 8pm )
schedule ( title = interview with Mia ; date = next Sunday ; start-time = 5am ; end-time = 6am )
schedule ( title = breakfast with Michael ; date = this Monday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = football activities with father ; date = next Thursday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = lunch with Lisa ; date = this Thursday ; start-time = 3am ; end-time = 4am )
schedule ( title = meeting with Gary ; date = this Wednesday ; start-time = 3pm ; end-time = 4pm )
schedule ( title = zoom with Barbara ; date = this Sunday ; start-time = 10am ; end-time = 11am )
schedule ( title = lab appointment with Jennifer ; date = this Friday ; start-time = 10am ; end-time = 11am )
schedule ( title = trip with Alex ; date = this Saturday ; start-time = 6pm ; end-time = 7pm )
schedule ( title = playing football with Emma ; date = this Wednesday ; start-time = 6pm ; end-time = 7pm )
schedule ( title = optometrist appointment with Harper ; date = next Wednesday ; start-time = 11pm ; end-time = 12pm )
schedule ( title = football activities with Jennifer ; date = next Monday ; start-time = 5pm ; end-time = 6pm )
schedule ( title = interview with Lucas ; date = next Wednesday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = dinner with Amelia ; date = next Sunday ; start-time = 7am ; end-time = 8am )
reminder ( title = dinner with Emma ; date = this Monday ; start-time = 7am ; end-time = 8am )
reminder ( title = lab appointment with Kevin ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = zoom with Justin ; date = this Wednesday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = dentist appointment with John ; date = next Sunday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = lunch with Henry ; date = next Thursday ; start-time = 1am ; end-time = 2am )
reminder ( title = breakfast with  ; date = next Monday ; start-time = 1am ; end-time = 2am )
reminder ( title = dinner with Isabella ; date = this Thursday ; start-time = 10am ; end-time = 11am )
reminder ( title = lab appointment with Ashley ; date = next Wednesday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = optometrist appointment with William ; date = next Tuesday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = meeting with Kevin ; date = this Friday ; start-time = 12am ; end-time = 1am )
reminder ( title = zoom with Mary ; date = this Tuesday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = zoom with sister ; date = this Tuesday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = football activities with Elijah ; date = this Friday ; start-time = 1am ; end-time = 2am )
reminder ( title = optometrist appointment with Alexander ; date = next Sunday ; start-time = 6am ; end-time = 7am )
reminder ( title = taking medicine with Isabella ; date = next Tuesday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = meeting with Timothy ; date = this Thursday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = trip with Linda ; date = next Tuesday ; start-time = 5am ; end-time = 6am )
reminder ( title = dinner with Oliver ; date = next Tuesday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = dentist appointment with Kevin ; date = this Monday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = conference with Brian ; date = this Thursday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = flight with Richard ; date = next Friday ; start-time = 7am ; end-time = 8am )
reminder ( title = dinner with James ; date = next Tuesday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = meeting with David ; date = next Sunday ; start-time = 7am ; end-time = 8am )
reminder ( title = taking medicine with Jeffrey ; date = this Sunday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = meeting with Robert ; date = this Saturday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = conference with James ; date = next Friday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = interview with James ; date = next Wednesday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = talk with James ; date = this Wednesday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = dinner with Oliver ; date = this Tuesday ; start-time = 11pm ; end-time = 12pm )
reminder ( title = taking medicine with Justin ; date = this Thursday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = meeting with Harper ; date = this Thursday ; start-time = 12am ; end-time = 1am )
reminder ( title = breakfast with Henry ; date = this Thursday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = lab appointment with William ; date = this Wednesday ; start-time = 1am ; end-time = 2am )
reminder ( title = football activities with Evelyn ; date = next Sunday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = conference with Noah ; date = this Monday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = lab appointment with Scott ; date = next Tuesday ; start-time = 1am ; end-time = 2am )
reminder ( title = lab appointment with Timothy ; date = this Saturday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = dentist appointment with Timothy ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = yoga activity with Benjamin ; date = next Monday ; start-time = 1am ; end-time = 2am )
reminder ( title = meeting with Barbara ; date = next Thursday ; start-time = 4am ; end-time = 5am )
reminder ( title = meeting with Linda ; date = next Sunday ; start-time = 7am ; end-time = 8am )
reminder ( title = meeting with Liam ; date = next Thursday ; start-time = 1am ; end-time = 2am )
reminder ( title = interview with Barbara ; date = this Friday ; start-time = 11pm ; end-time = 12pm )
reminder ( title = optometrist appointment with Barbara ; date = next Friday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = dentist appointment with Lucas ; date = this Saturday ; start-time = 4am ; end-time = 5am )
reminder ( title = playing football with Richard ; date = next Monday ; start-time = 8am ; end-time = 9am )
reminder ( title = conference with James ; date = next Friday ; start-time = 9am ; end-time = 10am )
reminder ( title = dinner with Sophia ; date = next Tuesday ; start-time = 11am ; end-time = 12am )
reminder ( title = flight with Gary ; date = this Thursday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = meeting with Sarah ; date = next Thursday ; start-time = 1am ; end-time = 2am )
reminder ( title = conference with Amelia ; date = this Tuesday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = trip with Charlotte ; date = next Tuesday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = breakfast with Benjamin ; date = this Saturday ; start-time = 12am ; end-time = 1am )
reminder ( title = lunch with Jennifer ; date = this Sunday ; start-time = 5am ; end-time = 6am )
reminder ( title = interview with Lisa ; date = next Tuesday ; start-time = 4am ; end-time = 5am )
reminder ( title = dentist appointment with Scott ; date = next Wednesday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = meeting with Elizabeth ; date = this Wednesday ; start-time = 12am ; end-time = 1am )
reminder ( title = dentist appointment with Ryan ; date = this Saturday ; start-time = 8am ; end-time = 9am )
reminder ( title = zoom with Noah ; date = this Thursday ; start-time = 6am ; end-time = 7am )
reminder ( title = breakfast with Timothy ; date = next Sunday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = football activities with George ; date = this Saturday ; start-time = 4am ; end-time = 5am )
reminder ( title = yoga activity with Brian ; date = this Tuesday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = flight with Justin ; date = next Sunday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = breakfast with Alex ; date = next Sunday ; start-time = 1am ; end-time = 2am )
reminder ( title = conference with William ; date = next Saturday ; start-time = 6pm ; end-time = 7pm )
reminder ( title = talk with Sophia ; date = next Friday ; start-time = 1am ; end-time = 2am )
reminder ( title = meeting with Gary ; date = next Sunday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = meeting with Amelia ; date = next Thursday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = yoga activity with father ; date = next Thursday ; start-time = 1am ; end-time = 2am )
reminder ( title = meeting with Timothy ; date = next Thursday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = dentist appointment with Robert ; date = next Tuesday ; start-time = 5am ; end-time = 6am )
reminder ( title = optometrist appointment with Barbara ; date = next Saturday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = taking medicine with Isabella ; date = next Thursday ; start-time = 11pm ; end-time = 12pm )
reminder ( title = breakfast with David ; date = this Friday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = yoga activity with Ryan ; date = this Saturday ; start-time = 8am ; end-time = 9am )
reminder ( title = playing football with Ava ; date = next Sunday ; start-time = 6pm ; end-time = 7pm )
reminder ( title = zoom with Sarah ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
reminder ( title = lunch with Ashley ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = lab appointment with Mia ; date = next Tuesday ; start-time = 9am ; end-time = 10am )
reminder ( title = zoom with Gary ; date = next Monday ; start-time = 4am ; end-time = 5am )
reminder ( title = playing football with Mary ; date = next Thursday ; start-time = 12am ; end-time = 1am )
reminder ( title = zoom with Robert ; date = this Tuesday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = talk with Ashley ; date = this Friday ; start-time = 10am ; end-time = 11am )
reminder ( title = dinner with George ; date = this Monday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = conference with Sarah ; date = this Thursday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = taking medicine with Charlotte ; date = this Wednesday ; start-time = 10am ; end-time = 11am )
reminder ( title = lunch with Jessica ; date = next Sunday ; start-time = 10am ; end-time = 11am )
reminder ( title = meeting with Barbara ; date = next Saturday ; start-time = 6pm ; end-time = 7pm )
reminder ( title = football activities with Mary ; date = this Friday ; start-time = 1am ; end-time = 2am )
reminder ( title = lunch with George ; date = this Thursday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = zoom with James ; date = this Monday ; start-time = 12am ; end-time = 1am )
reminder ( title = playing football with Elizabeth ; date = this Sunday ; start-time = 10am ; end-time = 11am )
reminder ( title = yoga activity with Sarah ; date = next Thursday ; start-time = 6pm ; end-time = 7pm )
reminder ( title = playing football with Lisa ; date = this Sunday ; start-time = 10am ; end-time = 11am )
reminder ( title = conference with Jessica ; date = next Saturday ; start-time = 9am ; end-time = 10am )
reminder ( title = meeting with William ; date = next Thursday ; start-time = 5am ; end-time = 6am )
reminder ( title = playing football with David ; date = this Friday ; start-time = 4am ; end-time = 5am )
reminder ( title = lunch with Kevin ; date = next Sunday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = dinner with Jacob ; date = next Friday ; start-time = 3am ; end-time = 4am )
reminder ( title = flight with William ; date = this Tuesday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = football activities with Mary ; date = this Monday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = lab appointment with Scott ; date = this Saturday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = conference with Barbara ; date = next Saturday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = lunch with Benjamin ; date = next Thursday ; start-time = 9am ; end-time = 10am )
reminder ( title = taking medicine with Lucas ; date = next Sunday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = yoga activity with Noah ; date = this Monday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = taking medicine with Alexander ; date = next Wednesday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = interview with Barbara ; date = this Thursday ; start-time = 5am ; end-time = 6am )
reminder ( title = lab appointment with Lucas ; date = this Saturday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = lab appointment with Alice ; date = this Friday ; start-time = 11am ; end-time = 12am )
reminder ( title = dentist appointment with father ; date = next Friday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = lab appointment with Timothy ; date = next Monday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = conference with Kevin ; date = next Saturday ; start-time = 9am ; end-time = 10am )
reminder ( title = conference with Henry ; date = this Wednesday ; start-time = 8am ; end-time = 9am )
reminder ( title = meeting with Alex ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
reminder ( title = yoga activity with Kevin ; date = this Sunday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = zoom with Linda ; date = next Saturday ; start-time = 12am ; end-time = 1am )
reminder ( title = playing football with John ; date = next Monday ; start-time = 8am ; end-time = 9am )
reminder ( title = dinner with Richard ; date = next Sunday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = football activities with Jessica ; date = next Friday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = dentist appointment with Amelia ; date = next Thursday ; start-time = 12am ; end-time = 1am )
reminder ( title = optometrist appointment with Alexander ; date = next Thursday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = lunch with Noah ; date = next Tuesday ; start-time = 5am ; end-time = 6am )
reminder ( title = lab appointment with Olivia ; date = next Wednesday ; start-time = 2am ; end-time = 3am )
reminder ( title = football activities with Sophia ; date = this Thursday ; start-time = 4am ; end-time = 5am )
reminder ( title = meeting with Ava ; date = next Friday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = interview with Alexander ; date = next Monday ; start-time = 5am ; end-time = 6am )
reminder ( title = trip with Scott ; date = next Thursday ; start-time = 8am ; end-time = 9am )
reminder ( title = trip with Jacob ; date = next Saturday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = flight with Ryan ; date = this Wednesday ; start-time = 10am ; end-time = 11am )
reminder ( title = interview with Olivia ; date = next Wednesday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = dinner with William ; date = this Sunday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = flight with Lucas ; date = next Monday ; start-time = 1am ; end-time = 2am )
reminder ( title = football activities with Ava ; date = next Monday ; start-time = 12am ; end-time = 1am )
reminder ( title = dinner with Alex ; date = this Friday ; start-time = 2am ; end-time = 3am )
reminder ( title = playing football with Timothy ; date = this Saturday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = breakfast with Linda ; date = next Friday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = lab appointment with Alice ; date = next Sunday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = playing football with Harper ; date = this Sunday ; start-time = 4am ; end-time = 5am )
reminder ( title = trip with Charlotte ; date = this Monday ; start-time = 8am ; end-time = 9am )
reminder ( title = trip with Elijah ; date = this Saturday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = yoga activity with Emma ; date = next Monday ; start-time = 8am ; end-time = 9am )
reminder ( title = optometrist appointment with Jeffrey ; date = this Friday ; start-time = 8pm ; end-time = 9pm )
reminder ( title = lunch with Jacob ; date = this Monday ; start-time = 3am ; end-time = 4am )
reminder ( title = flight with Brian ; date = this Thursday ; start-time = 12am ; end-time = 1am )
reminder ( title = interview with James ; date = this Wednesday ; start-time = 2am ; end-time = 3am )
reminder ( title = lunch with Ryan ; date = next Friday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = lab appointment with Noah ; date = this Wednesday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = taking medicine with Olivia ; date = this Thursday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = football activities with Amelia ; date = next Sunday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = playing football with Richard ; date = this Tuesday ; start-time = 6pm ; end-time = 7pm )
reminder ( title = yoga activity with Kevin ; date = next Saturday ; start-time = 8am ; end-time = 9am )
reminder ( title = dinner with Emily ; date = this Friday ; start-time = 7am ; end-time = 8am )
reminder ( title = zoom with William ; date = this Friday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = flight with Olivia ; date = this Tuesday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = dentist appointment with Jessica ; date = next Tuesday ; start-time = 6am ; end-time = 7am )
reminder ( title = meeting with John ; date = this Sunday ; start-time = 1am ; end-time = 2am )
reminder ( title = football activities with Alice ; date = this Sunday ; start-time = 12am ; end-time = 1am )
reminder ( title = breakfast with Gary ; date = this Thursday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = yoga activity with Charlotte ; date = this Monday ; start-time = 5am ; end-time = 6am )
reminder ( title = interview with Mary ; date = this Sunday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = taking medicine with Kevin ; date = this Sunday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = lab appointment with Elizabeth ; date = next Thursday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = dentist appointment with Lisa ; date = next Tuesday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = taking medicine with Kevin ; date = this Sunday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = yoga activity with Charlotte ; date = this Saturday ; start-time = 3am ; end-time = 4am )
reminder ( title = lab appointment with Olivia ; date = next Wednesday ; start-time = 7pm ; end-time = 8pm )
reminder ( title = trip with Jeffrey ; date = next Friday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = conference with George ; date = this Sunday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = dentist appointment with Lisa ; date = this Friday ; start-time = 7am ; end-time = 8am )
reminder ( title = flight with Robert ; date = next Sunday ; start-time = 2am ; end-time = 3am )
reminder ( title = talk with sister ; date = this Friday ; start-time = 9am ; end-time = 10am )
reminder ( title = lunch with Justin ; date = next Friday ; start-time = 10am ; end-time = 11am )
reminder ( title = dinner with Benjamin ; date = next Wednesday ; start-time = 5am ; end-time = 6am )
reminder ( title = football activities with Olivia ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = breakfast with Kevin ; date = this Tuesday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = playing football with father ; date = this Tuesday ; start-time = 11pm ; end-time = 12pm )
reminder ( title = football activities with Oliver ; date = next Wednesday ; start-time = 7am ; end-time = 8am )
reminder ( title = trip with sister ; date = this Tuesday ; start-time = 1pm ; end-time = 2pm )
reminder ( title = talk with Alice ; date = this Sunday ; start-time = 12am ; end-time = 1am )
reminder ( title = meeting with sister ; date = this Wednesday ; start-time = 8am ; end-time = 9am )
reminder ( title = meeting with John ; date = next Monday ; start-time = 9am ; end-time = 10am )
reminder ( title = playing football with Jacob ; date = this Sunday ; start-time = 4pm ; end-time = 5pm )
reminder ( title = trip with Liam ; date = next Sunday ; start-time = 1am ; end-time = 2am )
reminder ( title = dentist appointment with Scott ; date = this Thursday ; start-time = 10pm ; end-time = 11pm )
reminder ( title = dentist appointment with Jessica ; date = next Tuesday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = taking medicine with Emily ; date = next Wednesday ; start-time = 6am ; end-time = 7am )
reminder ( title = yoga activity with Henry ; date = this Tuesday ; start-time = 2am ; end-time = 3am )
reminder ( title = interview with Olivia ; date = next Friday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = taking medicine with Emily ; date = this Saturday ; start-time = 6am ; end-time = 7am )
reminder ( title = zoom with William ; date = next Saturday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = yoga activity with Linda ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder ( title = playing football with Sophia ; date = next Tuesday ; start-time = 2pm ; end-time = 3pm )
reminder ( title = lab appointment with Emily ; date = next Wednesday ; start-time = 3pm ; end-time = 4pm )
reminder ( title = interview with Mary ; date = this Saturday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = talk with Emily ; date = this Tuesday ; start-time = 9pm ; end-time = 10pm )
reminder ( title = dentist appointment with Mary ; date = this Friday ; start-time = 11am ; end-time = 12am )
reminder ( title = lab appointment with Ava ; date = this Friday ; start-time = 12pm ; end-time = 1pm )
reminder ( title = trip with Olivia ; date = this Thursday ; start-time = 12pm ; end-time = 1pm )
schedule ( title = flight with James ; date = 12th ; start-time = 9am ; end-time = 10am )
schedule ( title = optometrist appointment with Lucas ; date = 6th ; start-time = 12am ; end-time = 1am )
schedule ( title = dinner with Gary ; date = 27th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = lunch with Linda ; date = 9th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = dinner with Elijah ; date = 17th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = conference with Mary ; date = 13th ; start-time = 7am ; end-time = 8am )
schedule ( title = yoga activity with Jennifer ; date = 20th ; start-time = 11am ; end-time = 12am )
schedule ( title = dinner with Lucas ; date = 15th ; start-time = 1am ; end-time = 2am )
schedule ( title = flight with William ; date = 10th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = meeting with Isabella ; date = 8th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = meeting with Justin ; date = 18th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = interview with Barbara ; date = 1st ; start-time = 2pm ; end-time = 3pm )
schedule ( title = lab appointment with Lisa ; date = 31st ; start-time = 1pm ; end-time = 2pm )
schedule ( title = dinner with Ashley ; date = 31st ; start-time = 3pm ; end-time = 4pm )
schedule ( title = yoga activity with Ryan ; date = 9th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = playing football with Timothy ; date = 3rd ; start-time = 5am ; end-time = 6am )
schedule ( title = flight with Justin ; date = 11th ; start-time = 10am ; end-time = 11am )
schedule ( title = yoga activity with Liam ; date = 16th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = football activities with Mia ; date = 31st ; start-time = 9am ; end-time = 10am )
schedule ( title = meeting with Amelia ; date = 30th ; start-time = 2am ; end-time = 3am )
schedule ( title = football activities with Mary ; date = 4th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = taking medicine with David ; date = 26th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = playing football with Kevin ; date = 19th ; start-time = 9am ; end-time = 10am )
schedule ( title = conference with William ; date = 4th ; start-time = 3am ; end-time = 4am )
schedule ( title = meeting with Lisa ; date = 7th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = zoom with Elijah ; date = 27th ; start-time = 10am ; end-time = 11am )
schedule ( title = talk with Michael ; date = 8th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = lunch with Harper ; date = 12th ; start-time = 5am ; end-time = 6am )
schedule ( title = playing football with David ; date = 20th ; start-time = 12am ; end-time = 1am )
schedule ( title = playing football with sister ; date = 19th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = trip with Lisa ; date = 18th ; start-time = 7am ; end-time = 8am )
schedule ( title = meeting with Michael ; date = 12th ; start-time = 6am ; end-time = 7am )
schedule ( title = lunch with Emily ; date = 31st ; start-time = 9pm ; end-time = 10pm )
schedule ( title = lab appointment with Jennifer ; date = 28th ; start-time = 11am ; end-time = 12am )
schedule ( title = meeting with Jessica ; date = 22nd ; start-time = 7pm ; end-time = 8pm )
schedule ( title = talk with Alexander ; date = 11th ; start-time = 1am ; end-time = 2am )
schedule ( title = optometrist appointment with Michael ; date = 22nd ; start-time = 10am ; end-time = 11am )
schedule ( title = dinner with Richard ; date = 17th ; start-time = 1am ; end-time = 2am )
schedule ( title = meeting with Alice ; date = 8th ; start-time = 5am ; end-time = 6am )
schedule ( title = trip with Benjamin ; date = 25th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = taking medicine with Michael ; date = 14th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = conference with Lucas ; date = 26th ; start-time = 9am ; end-time = 10am )
schedule ( title = breakfast with Richard ; date = 17th ; start-time = 4am ; end-time = 5am )
schedule ( title = football activities with Jeffrey ; date = 18th ; start-time = 1am ; end-time = 2am )
schedule ( title = lab appointment with Timothy ; date = 7th ; start-time = 8am ; end-time = 9am )
schedule ( title = talk with Elizabeth ; date = 23rd ; start-time = 10am ; end-time = 11am )
schedule ( title = flight with Alexander ; date = 17th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = breakfast with Justin ; date = 12th ; start-time = 5am ; end-time = 6am )
schedule ( title = meeting with Alexander ; date = 4th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = taking medicine with Olivia ; date = 5th ; start-time = 8am ; end-time = 9am )
schedule ( title = yoga activity with Scott ; date = 7th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = dinner with Oliver ; date = 6th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = playing football with Gary ; date = 6th ; start-time = 3am ; end-time = 4am )
schedule ( title = trip with Henry ; date = 1st ; start-time = 11am ; end-time = 12am )
schedule ( title = lunch with Scott ; date = 29th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = dentist appointment with Jacob ; date = 16th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = zoom with Oliver ; date = 31st ; start-time = 11pm ; end-time = 12pm )
schedule ( title = dentist appointment with Ryan ; date = 2nd ; start-time = 3am ; end-time = 4am )
